Age,Occupation,Marital_Status,Policies_Purchased,Renewal_History,Policy_Lapses,Claim_Frequency,Claim_Amount,Premium_Paid,Payment_Mode,Payment_Timing,Customer_Service_Interactions,Response_to_Offers,Cross_Selling_Products,Customer_Lifetime_Value
18,Retired,Widowed,1,On-time,1,3,4121,725,Credit Card,On-time,5,Neutral,Health + Life,848
18,Teacher,Divorced,1,On-time,0,0,0,2214,UPI,On-time,0,Positive,Only Auto,2214
64,Doctor,Married,3,On-time,0,4,5971,4649,UPI,On-time,4,Positive,Only Auto,6508
51,Teacher,Single,2,On-time,1,2,45535,2743,UPI,On-time,9,Negative,Auto + Home,2962
49,Retired,Divorced,5,Late,2,3,30644,3392,Bank Transfer,On-time,1,Neutral,Health + Life,3968
71,Doctor,Widowed,2,On-time,2,0,0,2845,Bank Transfer,On-time,6,Positive,Health + Life,2560
65,Teacher,Married,2,On-time,2,4,29327,1078,Cash,Late,9,Positive,Only Health,1358
42,Student,Single,4,On-time,0,2,37122,2198,Credit Card,On-time,3,Neutral,Only Health,2637
57,Doctor,Widowed,1,On-time,1,4,38242,3171,Cash,On-time,1,Negative,Health + Life,3995
62,Engineer,Widowed,3,Missed,0,2,4397,4801,Bank Transfer,On-time,0,Neutral,Only Auto,5761
70,Teacher,Widowed,1,On-time,0,0,0,3427,UPI,On-time,4,Positive,Auto + Home,3427
18,Doctor,Divorced,1,On-time,0,4,13412,778,Credit Card,On-time,9,Positive,Only Health,1089
33,Student,Married,2,On-time,0,4,49519,1968,UPI,On-time,7,Positive,Auto + Home,2755
56,Self-Employed,Widowed,4,Late,1,1,6521,1440,Credit Card,On-time,7,Neutral,Health + Life,1425
22,Doctor,Divorced,1,On-time,0,3,30151,2818,UPI,On-time,9,Positive,Only Auto,3663
39,Doctor,Married,5,On-time,0,4,4472,2283,Credit Card,On-time,1,Positive,Auto + Home,3196
46,Student,Married,5,Late,2,2,6481,2375,UPI,On-time,5,Neutral,Only Home,2565
72,Self-Employed,Divorced,1,On-time,0,3,39977,3726,Cash,On-time,6,Neutral,Health + Life,4843
20,Teacher,Divorced,2,On-time,1,0,0,4228,Bank Transfer,On-time,9,Neutral,Only Auto,3805
29,Business,Widowed,2,On-time,0,3,24379,1485,Cash,On-time,0,Negative,Health + Life,1930
43,Teacher,Married,3,Late,1,1,25265,3319,UPI,On-time,4,Neutral,Health + Life,3285
33,Self-Employed,Single,4,On-time,1,0,0,4470,Credit Card,On-time,5,Positive,Auto + Home,4023
68,Retired,Divorced,2,On-time,1,4,24656,2566,Cash,On-time,6,Negative,Auto + Home,3233
54,Student,Married,3,On-time,2,0,0,924,UPI,Late,8,Positive,Only Home,831
39,Teacher,Married,5,On-time,2,0,0,2605,Bank Transfer,On-time,2,Positive,Only Health,2344
74,Doctor,Widowed,5,On-time,0,1,46911,2970,Credit Card,On-time,7,Neutral,Only Home,3267
46,Student,Single,5,On-time,0,2,44013,4294,Cash,On-time,9,Positive,Only Auto,5152
31,Engineer,Widowed,1,On-time,0,0,0,3391,Bank Transfer,On-time,2,Positive,Only Auto,3391
45,Self-Employed,Single,4,On-time,1,2,41314,2183,UPI,On-time,8,Neutral,Health + Life,2357
22,Teacher,Single,3,On-time,1,3,23857,3673,Credit Card,Late,7,Negative,Auto + Home,4297
64,Student,Divorced,4,On-time,1,1,29894,3647,UPI,On-time,8,Neutral,Health + Life,3610
66,Teacher,Married,1,On-time,0,4,39570,4561,Credit Card,Late,4,Positive,Only Health,6385
47,Student,Married,3,On-time,0,0,0,4551,Bank Transfer,On-time,8,Positive,Health + Life,4551
63,Doctor,Married,3,On-time,0,2,40420,4151,Bank Transfer,On-time,2,Positive,Only Auto,4981
69,Engineer,Single,2,Missed,0,0,0,4661,Bank Transfer,Late,6,Positive,Only Auto,4661
22,Engineer,Married,4,On-time,2,1,28734,1674,Cash,On-time,2,Positive,Only Home,1657
29,Retired,Divorced,4,On-time,2,4,36396,3449,Cash,On-time,5,Neutral,Health + Life,4345
33,Student,Single,2,On-time,2,3,37219,2309,Cash,Late,7,Neutral,Auto + Home,2701
43,Teacher,Single,5,On-time,0,3,42497,936,UPI,Late,1,Negative,Only Health,1216
43,Engineer,Single,1,Late,2,2,2436,734,Cash,On-time,7,Positive,Only Health,792
65,Self-Employed,Single,4,On-time,2,3,12007,2645,Credit Card,Late,0,Positive,Auto + Home,3094
38,Engineer,Divorced,2,On-time,0,2,29341,4075,Bank Transfer,On-time,3,Positive,Only Health,4890
56,Business,Married,3,On-time,2,4,32014,4061,UPI,On-time,6,Negative,Auto + Home,5116
53,Business,Divorced,2,On-time,0,0,0,2974,UPI,On-time,0,Negative,Auto + Home,2974
50,Engineer,Married,5,On-time,0,1,8551,726,Cash,Late,5,Negative,Only Home,798
47,Student,Divorced,1,On-time,0,4,14113,3110,Credit Card,On-time,9,Negative,Health + Life,4354
54,Retired,Widowed,5,Late,1,4,49431,2775,Bank Transfer,On-time,5,Negative,Only Auto,3496
40,Engineer,Widowed,3,Late,0,3,38179,2315,UPI,On-time,6,Neutral,Only Auto,3009
27,Doctor,Widowed,3,On-time,2,3,5841,4354,Bank Transfer,On-time,8,Neutral,Health + Life,5094
71,Teacher,Widowed,3,On-time,2,1,41729,4495,Credit Card,On-time,6,Positive,Only Health,4450
22,Retired,Single,3,Late,0,0,0,1910,Bank Transfer,On-time,2,Neutral,Auto + Home,1910
53,Doctor,Single,2,On-time,1,4,38964,3879,Cash,On-time,3,Neutral,Only Auto,4887
51,Retired,Divorced,3,On-time,1,3,20111,2345,Bank Transfer,On-time,0,Negative,Only Home,2743
69,Doctor,Divorced,3,Late,1,4,12093,1837,UPI,On-time,4,Positive,Only Health,2314
48,Teacher,Widowed,2,On-time,2,0,0,617,Cash,On-time,6,Negative,Only Home,555
27,Teacher,Married,3,On-time,1,2,32799,2368,Cash,On-time,2,Neutral,Only Auto,2557
36,Business,Widowed,5,On-time,1,0,0,2597,Cash,On-time,5,Positive,Health + Life,2337
49,Student,Divorced,5,On-time,0,4,20361,2313,Cash,On-time,2,Positive,Health + Life,3238
18,Doctor,Widowed,4,Missed,1,4,15484,2087,UPI,On-time,3,Negative,Only Home,2629
73,Business,Divorced,5,On-time,1,1,48871,3752,Credit Card,On-time,4,Positive,Only Health,3714
22,Doctor,Widowed,1,Missed,1,4,48448,1042,Credit Card,On-time,5,Positive,Only Auto,1312
62,Business,Married,1,On-time,0,3,15101,2874,Cash,Late,5,Positive,Auto + Home,3736
21,Teacher,Widowed,1,On-time,0,1,43774,2026,Credit Card,On-time,0,Positive,Health + Life,2228
33,Retired,Married,2,On-time,1,4,37248,4067,UPI,Late,7,Negative,Only Home,5124
41,Self-Employed,Married,5,On-time,2,0,0,1769,Credit Card,On-time,2,Positive,Only Auto,1592
33,Business,Divorced,1,On-time,2,4,14261,1101,Credit Card,On-time,3,Positive,Only Health,1387
72,Doctor,Married,4,On-time,0,0,0,4114,UPI,On-time,7,Neutral,Auto + Home,4114
19,Doctor,Single,2,Late,1,0,0,2649,Credit Card,On-time,4,Negative,Auto + Home,2384
66,Self-Employed,Single,4,Missed,2,4,9221,3801,Cash,On-time,5,Neutral,Health + Life,4789
45,Student,Single,5,On-time,1,0,0,887,Cash,On-time,0,Positive,Auto + Home,798
49,Teacher,Divorced,3,On-time,0,2,20877,4180,UPI,On-time,7,Negative,Only Auto,5016
44,Doctor,Single,4,Late,2,1,26557,2102,Cash,On-time,4,Neutral,Health + Life,2080
37,Engineer,Divorced,3,On-time,0,4,33998,3782,Cash,On-time,0,Positive,Health + Life,5294
41,Retired,Divorced,2,On-time,1,2,8526,3196,Cash,On-time,6,Neutral,Health + Life,3451
29,Business,Single,4,Missed,0,0,0,4934,Cash,On-time,1,Negative,Only Auto,4934
67,Student,Married,4,On-time,0,0,0,4651,Cash,On-time,5,Neutral,Only Home,4651
52,Self-Employed,Widowed,2,On-time,0,1,33588,4333,Credit Card,Late,2,Negative,Auto + Home,4766
50,Retired,Divorced,2,On-time,0,2,7889,1805,UPI,On-time,5,Neutral,Auto + Home,2166
50,Teacher,Single,1,On-time,2,2,47152,1216,Bank Transfer,On-time,8,Neutral,Only Home,1313
68,Student,Divorced,5,On-time,1,4,46454,4155,UPI,On-time,5,Positive,Health + Life,5235
60,Business,Married,4,On-time,2,0,0,3491,UPI,On-time,0,Negative,Only Health,3141
54,Business,Married,4,Missed,1,3,30146,813,UPI,On-time,5,Neutral,Only Auto,951
29,Self-Employed,Single,2,On-time,1,4,35546,2780,Credit Card,On-time,2,Neutral,Health + Life,3502
20,Engineer,Divorced,2,On-time,1,4,9052,3122,UPI,On-time,3,Neutral,Health + Life,3933
18,Self-Employed,Widowed,5,On-time,1,4,33548,1387,UPI,Late,3,Neutral,Health + Life,1747
50,Teacher,Widowed,2,Late,1,1,38638,4842,Credit Card,On-time,8,Neutral,Auto + Home,4793
57,Student,Divorced,3,Missed,2,1,2147,2989,Cash,On-time,7,Neutral,Auto + Home,2959
27,Student,Divorced,3,Late,1,4,3847,2422,Bank Transfer,Late,6,Neutral,Only Health,3051
60,Doctor,Divorced,3,On-time,0,3,21234,4529,Cash,On-time,4,Positive,Only Auto,5887
61,Engineer,Single,3,Missed,2,2,20454,3563,UPI,Late,9,Positive,Health + Life,3848
46,Engineer,Married,5,On-time,2,2,34388,660,Cash,On-time,3,Neutral,Auto + Home,712
30,Student,Widowed,4,On-time,1,0,0,2687,Credit Card,On-time,2,Neutral,Only Home,2418
29,Student,Single,3,On-time,0,2,40983,2851,Bank Transfer,On-time,0,Positive,Auto + Home,3421
48,Retired,Divorced,2,On-time,0,2,44820,1983,Cash,On-time,8,Positive,Health + Life,2379
63,Retired,Divorced,3,Late,1,3,27076,4392,UPI,Late,7,Positive,Health + Life,5138
19,Retired,Married,5,On-time,1,2,31752,2237,Bank Transfer,On-time,0,Neutral,Auto + Home,2415
68,Engineer,Divorced,2,On-time,0,3,17003,4720,UPI,On-time,1,Neutral,Only Home,6136
67,Doctor,Single,3,On-time,2,1,8418,2408,Cash,On-time,0,Positive,Only Home,2383
52,Business,Single,4,On-time,2,3,18710,1870,Cash,On-time,0,Positive,Health + Life,2187
40,Retired,Married,2,On-time,1,1,1121,2477,UPI,On-time,8,Positive,Auto + Home,2452
34,Doctor,Single,2,On-time,2,3,38081,3895,Bank Transfer,On-time,4,Positive,Only Auto,4557
43,Self-Employed,Widowed,4,On-time,2,4,28773,2954,Bank Transfer,Late,2,Positive,Only Auto,3722
25,Teacher,Single,2,On-time,0,1,18566,4759,Bank Transfer,On-time,1,Positive,Health + Life,5234
46,Retired,Single,3,Late,2,1,47750,2787,Cash,On-time,7,Positive,Only Home,2759
43,Self-Employed,Single,2,Missed,0,2,34562,1736,Cash,On-time,7,Neutral,Only Auto,2083
27,Business,Widowed,3,Missed,1,1,43584,3674,UPI,On-time,5,Positive,Auto + Home,3637
43,Teacher,Divorced,4,Late,1,3,21655,1706,UPI,On-time,1,Neutral,Only Health,1996
51,Teacher,Single,1,On-time,0,4,9483,1004,Credit Card,On-time,0,Neutral,Only Health,1405
68,Business,Married,4,Late,0,4,33688,4267,Credit Card,On-time,5,Positive,Only Home,5973
58,Retired,Widowed,3,On-time,1,2,41094,1903,Credit Card,On-time,0,Positive,Only Health,2055
24,Engineer,Married,5,Late,0,3,42450,2267,UPI,On-time,5,Neutral,Auto + Home,2947
21,Business,Single,4,On-time,1,3,26209,4233,Bank Transfer,On-time,9,Negative,Health + Life,4952
70,Business,Married,5,Late,1,0,0,1200,Credit Card,On-time,1,Negative,Health + Life,1080
67,Business,Single,5,On-time,1,1,19556,3704,UPI,On-time,6,Negative,Auto + Home,3666
62,Teacher,Widowed,3,On-time,1,2,28962,4645,Cash,On-time,9,Neutral,Health + Life,5016
28,Doctor,Married,3,On-time,1,4,16638,3505,Bank Transfer,On-time,1,Negative,Auto + Home,4416
46,Self-Employed,Married,1,On-time,1,0,0,4621,Credit Card,Late,1,Positive,Auto + Home,4158
73,Engineer,Single,2,Missed,2,3,37675,4582,Cash,On-time,5,Neutral,Only Health,5360
53,Retired,Single,4,On-time,2,1,22083,510,Bank Transfer,On-time,3,Positive,Only Health,504
42,Retired,Divorced,3,On-time,1,4,8081,2558,Bank Transfer,On-time,5,Positive,Only Home,3223
38,Self-Employed,Single,4,Missed,2,0,0,4177,Cash,On-time,7,Positive,Only Health,3759
74,Doctor,Single,5,On-time,0,3,20852,3319,Credit Card,On-time,9,Positive,Health + Life,4314
53,Business,Divorced,2,On-time,0,4,6760,1472,Credit Card,On-time,2,Positive,Only Health,2060
27,Engineer,Single,1,On-time,1,4,14771,4292,Cash,On-time,4,Positive,Auto + Home,5407
54,Retired,Single,4,On-time,2,3,1490,2954,Cash,On-time,4,Positive,Only Health,3456
26,Self-Employed,Divorced,2,Late,0,3,5263,1341,Cash,On-time,9,Neutral,Health + Life,1743
41,Student,Widowed,1,Late,0,2,8769,4954,UPI,On-time,8,Positive,Only Home,5944
52,Self-Employed,Widowed,4,Missed,0,4,26334,784,Bank Transfer,On-time,6,Neutral,Only Auto,1097
66,Retired,Single,2,On-time,0,3,18581,2935,Credit Card,On-time,8,Neutral,Auto + Home,3815
52,Business,Single,3,On-time,2,0,0,3331,Credit Card,Late,7,Neutral,Health + Life,2997
65,Student,Divorced,4,On-time,0,1,12635,1529,Cash,On-time,2,Positive,Health + Life,1681
53,Doctor,Divorced,2,Late,0,2,2904,4951,Bank Transfer,On-time,1,Positive,Only Auto,5941
35,Engineer,Widowed,1,On-time,0,3,6269,3466,Cash,On-time,2,Positive,Only Home,4505
66,Doctor,Married,2,On-time,1,1,31968,1053,Bank Transfer,On-time,5,Negative,Auto + Home,1042
56,Doctor,Single,3,On-time,0,2,2650,767,Cash,On-time,9,Positive,Only Home,920
49,Self-Employed,Married,4,On-time,0,4,13467,1740,Cash,On-time,3,Neutral,Only Auto,2436
41,Engineer,Married,4,Late,2,1,36959,4659,Bank Transfer,On-time,0,Positive,Auto + Home,4612
40,Engineer,Divorced,4,On-time,0,2,33795,2989,Credit Card,On-time,9,Negative,Only Health,3586
49,Retired,Single,3,On-time,0,3,47900,3088,Credit Card,On-time,9,Positive,Only Home,4014
54,Retired,Single,1,On-time,0,3,23644,969,UPI,On-time,8,Neutral,Only Health,1259
29,Engineer,Divorced,4,Late,1,2,36518,3787,Bank Transfer,On-time,5,Neutral,Auto + Home,4089
66,Student,Married,1,On-time,2,4,28280,4436,Credit Card,On-time,0,Positive,Only Auto,5589
72,Teacher,Divorced,2,On-time,2,2,3879,2519,Credit Card,On-time,2,Positive,Only Health,2720
30,Retired,Widowed,1,On-time,1,0,0,2523,Bank Transfer,On-time,0,Positive,Only Health,2270
40,Teacher,Single,1,On-time,1,2,29301,2089,Credit Card,On-time,8,Neutral,Health + Life,2256
42,Self-Employed,Widowed,4,Late,2,2,11865,2560,Bank Transfer,Late,3,Neutral,Auto + Home,2764
52,Student,Divorced,5,On-time,0,3,3832,4817,Credit Card,On-time,1,Positive,Only Auto,6262
58,Engineer,Single,5,Missed,2,4,36877,1919,Cash,Late,3,Positive,Health + Life,2417
47,Student,Widowed,3,On-time,1,2,29868,1380,Bank Transfer,On-time,1,Positive,Only Home,1490
34,Retired,Widowed,3,Late,0,1,43420,1338,Bank Transfer,On-time,5,Positive,Only Auto,1471
66,Doctor,Married,5,Late,2,3,32403,1251,Credit Card,On-time,5,Positive,Health + Life,1463
37,Self-Employed,Single,2,On-time,0,3,6758,769,Bank Transfer,On-time,6,Positive,Only Home,999
65,Engineer,Widowed,4,On-time,0,2,3921,3869,UPI,On-time,8,Positive,Only Auto,4642
42,Business,Widowed,4,On-time,1,1,35201,4003,UPI,On-time,8,Neutral,Health + Life,3962
39,Self-Employed,Married,2,On-time,2,2,5428,4460,Bank Transfer,On-time,3,Neutral,Only Auto,4816
30,Teacher,Widowed,2,On-time,1,1,41466,2575,UPI,On-time,8,Positive,Only Health,2549
36,Student,Widowed,5,On-time,2,3,9111,1812,Credit Card,On-time,7,Positive,Health + Life,2120
66,Engineer,Widowed,3,Late,2,1,24247,2784,Credit Card,On-time,0,Negative,Only Health,2756
53,Self-Employed,Married,2,On-time,0,2,49287,883,Bank Transfer,On-time,6,Positive,Health + Life,1059
29,Student,Widowed,3,Late,0,0,0,4680,Credit Card,On-time,6,Positive,Only Health,4680
58,Engineer,Widowed,1,On-time,0,0,0,4841,Credit Card,On-time,9,Positive,Auto + Home,4841
36,Retired,Single,4,On-time,1,1,13366,3308,UPI,On-time,3,Neutral,Only Health,3274
29,Self-Employed,Single,5,Missed,0,2,47923,1303,Credit Card,Late,6,Positive,Auto + Home,1563
26,Retired,Married,4,On-time,1,4,31564,4835,Credit Card,On-time,9,Negative,Only Auto,6092
24,Self-Employed,Divorced,5,On-time,0,0,0,1596,UPI,Late,9,Positive,Only Home,1596
45,Retired,Single,1,Late,1,3,10975,4242,Cash,On-time,4,Positive,Only Home,4963
31,Student,Married,4,Missed,2,2,46281,4983,Bank Transfer,Late,4,Neutral,Only Home,5381
48,Business,Widowed,1,On-time,1,2,3642,4219,Bank Transfer,On-time,4,Positive,Auto + Home,4556
69,Self-Employed,Widowed,5,On-time,1,0,0,3196,Cash,Late,5,Positive,Only Home,2876
36,Self-Employed,Married,2,On-time,1,4,14849,4766,UPI,On-time,6,Neutral,Only Home,6005
64,Retired,Widowed,4,On-time,2,3,37479,1308,UPI,On-time,4,Positive,Only Health,1530
33,Engineer,Widowed,1,On-time,1,4,20344,2651,Credit Card,On-time,8,Negative,Only Home,3340
70,Self-Employed,Divorced,4,On-time,2,3,22214,3793,Credit Card,On-time,8,Neutral,Auto + Home,4437
22,Retired,Widowed,4,On-time,0,0,0,1805,Bank Transfer,On-time,6,Positive,Only Health,1805
52,Doctor,Single,4,Late,0,2,27155,3959,Bank Transfer,On-time,9,Positive,Auto + Home,4750
29,Retired,Widowed,3,Late,2,3,23522,2919,UPI,Late,2,Positive,Health + Life,3415
42,Student,Married,1,On-time,1,2,7680,4724,Credit Card,On-time,3,Neutral,Only Home,5101
69,Business,Divorced,1,On-time,0,1,13507,1696,UPI,On-time,3,Neutral,Auto + Home,1865
38,Doctor,Widowed,4,On-time,1,1,10419,4024,Cash,On-time,6,Negative,Auto + Home,3983
53,Student,Married,2,On-time,1,0,0,2025,Bank Transfer,On-time,1,Positive,Only Health,1822
70,Student,Single,4,On-time,2,0,0,2099,Bank Transfer,On-time,4,Negative,Health + Life,1889
40,Student,Widowed,3,On-time,0,0,0,1544,UPI,On-time,3,Positive,Health + Life,1544
33,Engineer,Divorced,5,On-time,2,1,45233,2653,Credit Card,Late,9,Positive,Only Home,2626
74,Student,Widowed,3,Missed,2,3,8872,2367,Credit Card,On-time,8,Negative,Only Auto,2769
56,Engineer,Married,2,Late,2,4,8839,1875,Cash,On-time,0,Positive,Only Auto,2362
62,Student,Divorced,4,Late,2,0,0,1111,Cash,On-time,9,Negative,Only Health,999
70,Teacher,Widowed,1,On-time,1,4,7859,3816,Cash,On-time,2,Positive,Only Home,4808
59,Doctor,Single,4,On-time,0,4,34520,2098,UPI,On-time,5,Positive,Only Health,2937
56,Teacher,Divorced,2,On-time,0,1,14304,2477,Bank Transfer,On-time,3,Neutral,Only Home,2724
31,Student,Single,1,Late,0,3,48825,4897,UPI,On-time,2,Neutral,Health + Life,6366
48,Doctor,Married,3,On-time,1,1,4980,1138,UPI,On-time,5,Negative,Only Auto,1126
22,Doctor,Widowed,5,On-time,1,0,0,4666,Credit Card,On-time,2,Negative,Auto + Home,4199
52,Self-Employed,Single,5,On-time,2,1,1425,2422,Cash,On-time,6,Positive,Only Auto,2397
40,Business,Married,4,On-time,2,1,9141,1145,Bank Transfer,On-time,0,Positive,Only Home,1133
46,Teacher,Widowed,3,On-time,2,1,11057,4769,Cash,On-time,8,Neutral,Only Auto,4721
60,Business,Married,2,On-time,2,0,0,2498,Cash,On-time,9,Neutral,Auto + Home,2248
28,Doctor,Single,5,On-time,0,0,0,589,Cash,On-time,1,Negative,Health + Life,589
35,Engineer,Married,3,On-time,2,1,48588,3778,Bank Transfer,On-time,3,Positive,Health + Life,3740
64,Doctor,Divorced,4,On-time,1,1,5106,2866,Credit Card,Late,5,Positive,Only Home,2837
29,Business,Widowed,1,On-time,1,4,21087,1323,Bank Transfer,On-time,5,Neutral,Only Auto,1666
26,Teacher,Married,4,Late,1,3,2408,1050,Bank Transfer,On-time,7,Positive,Only Home,1228
27,Student,Single,4,On-time,2,4,20865,559,Credit Card,On-time,7,Positive,Only Auto,704
61,Self-Employed,Widowed,3,On-time,0,3,39589,4722,Bank Transfer,Late,3,Neutral,Only Health,6138
34,Self-Employed,Divorced,5,On-time,0,3,44130,4678,Bank Transfer,On-time,5,Negative,Only Home,6081
55,Self-Employed,Widowed,3,Missed,2,1,40612,1743,UPI,On-time,8,Positive,Only Auto,1725
24,Student,Divorced,1,On-time,2,4,40163,3979,Bank Transfer,On-time,6,Positive,Only Health,5013
63,Self-Employed,Widowed,3,On-time,1,3,42563,1445,UPI,On-time,7,Negative,Only Home,1690
30,Teacher,Married,2,On-time,1,3,16843,2140,UPI,On-time,7,Negative,Health + Life,2503
57,Student,Married,4,On-time,0,0,0,2452,UPI,On-time,1,Positive,Only Health,2452
59,Self-Employed,Single,5,On-time,1,3,33457,3133,Cash,On-time,6,Neutral,Only Home,3665
26,Student,Divorced,1,On-time,1,1,49109,4001,Credit Card,On-time,2,Positive,Auto + Home,3960
67,Business,Single,4,Missed,2,2,28330,1389,Cash,On-time,6,Negative,Health + Life,1500
44,Teacher,Married,3,Late,0,0,0,1073,Credit Card,On-time,1,Neutral,Only Health,1073
19,Retired,Divorced,2,Missed,2,2,38569,1012,Bank Transfer,Late,0,Positive,Only Auto,1092
22,Engineer,Single,3,On-time,0,1,33667,4660,UPI,Late,8,Negative,Auto + Home,5126
46,Self-Employed,Single,4,Late,2,2,49114,2464,Cash,On-time,9,Negative,Only Auto,2661
54,Engineer,Single,1,On-time,0,3,2758,4551,Bank Transfer,On-time,9,Positive,Auto + Home,5916
55,Student,Single,5,On-time,1,2,39548,2730,Cash,Late,0,Positive,Only Home,2948
36,Engineer,Single,4,Late,0,4,30169,2783,Bank Transfer,On-time,0,Neutral,Only Home,3896
25,Teacher,Divorced,1,On-time,0,1,12260,1111,Cash,On-time,2,Neutral,Only Auto,1222
65,Teacher,Single,4,On-time,2,4,33350,937,Bank Transfer,Late,0,Neutral,Only Auto,1180
62,Doctor,Divorced,2,On-time,0,2,42741,1959,Bank Transfer,On-time,6,Positive,Only Auto,2350
18,Self-Employed,Single,3,On-time,0,4,33678,1023,Cash,On-time,6,Positive,Only Health,1432
39,Doctor,Married,5,Missed,0,0,0,4077,Bank Transfer,On-time,7,Negative,Health + Life,4077
69,Engineer,Married,1,On-time,2,2,18910,3898,UPI,Late,1,Negative,Only Auto,4209
34,Retired,Single,5,On-time,0,4,1840,2761,UPI,On-time,6,Negative,Only Home,3865
24,Doctor,Widowed,5,On-time,2,3,18725,1523,UPI,On-time,8,Neutral,Only Home,1781
42,Doctor,Married,5,Late,1,2,13299,2079,UPI,On-time,9,Positive,Only Auto,2245
62,Teacher,Divorced,1,On-time,2,0,0,821,Credit Card,On-time,4,Neutral,Only Auto,738
21,Retired,Single,1,On-time,0,3,25505,3626,Cash,On-time,9,Positive,Only Home,4713
53,Student,Divorced,5,Late,1,2,6559,3331,UPI,On-time,2,Neutral,Only Health,3597
23,Engineer,Widowed,3,On-time,0,3,39694,4775,UPI,On-time,8,Neutral,Auto + Home,6207
48,Doctor,Single,4,On-time,2,2,33597,2927,UPI,On-time,0,Positive,Only Home,3161
36,Retired,Married,5,Late,1,2,9707,3480,Credit Card,On-time,2,Neutral,Auto + Home,3758
61,Self-Employed,Divorced,2,On-time,1,1,49943,4257,Cash,On-time,1,Positive,Only Auto,4214
71,Retired,Married,5,Late,1,4,45422,949,Bank Transfer,On-time,1,Negative,Health + Life,1195
56,Engineer,Married,1,On-time,0,2,47759,1784,Credit Card,On-time,2,Positive,Only Auto,2140
44,Retired,Single,4,Missed,1,0,0,4018,UPI,On-time,9,Neutral,Only Auto,3616
27,Retired,Divorced,2,Missed,1,4,41443,2160,UPI,On-time,6,Positive,Only Auto,2721
43,Retired,Widowed,4,On-time,1,1,43107,1403,Credit Card,On-time,5,Neutral,Only Home,1388
36,Self-Employed,Married,4,On-time,1,4,29019,1677,Cash,On-time,8,Neutral,Only Home,2113
56,Doctor,Single,2,Missed,2,4,23841,829,Cash,On-time,9,Positive,Health + Life,1044
20,Engineer,Single,5,On-time,0,2,20640,1136,Bank Transfer,On-time,9,Neutral,Auto + Home,1363
62,Self-Employed,Widowed,5,On-time,0,0,0,2389,Credit Card,On-time,2,Neutral,Auto + Home,2389
30,Retired,Single,5,On-time,1,2,37424,2367,Cash,On-time,4,Neutral,Auto + Home,2556
67,Retired,Married,3,Late,2,0,0,3015,Credit Card,On-time,8,Positive,Only Auto,2713
45,Doctor,Single,5,Late,1,0,0,912,Cash,On-time,2,Neutral,Health + Life,820
37,Engineer,Divorced,2,On-time,0,3,4155,4333,Cash,On-time,7,Positive,Only Auto,5632
45,Teacher,Divorced,3,On-time,0,2,24572,2915,UPI,On-time,8,Neutral,Health + Life,3498
25,Self-Employed,Married,5,Late,0,1,1978,3086,Cash,On-time,6,Positive,Only Health,3394
58,Doctor,Divorced,3,Late,1,4,11497,2064,Cash,On-time,5,Positive,Only Home,2600
56,Engineer,Widowed,2,On-time,1,3,45843,980,Credit Card,On-time,5,Positive,Only Auto,1146
18,Self-Employed,Single,5,Missed,2,1,20431,2775,Cash,On-time,5,Negative,Only Health,2747
20,Retired,Married,1,Late,2,2,36357,4340,Cash,On-time,4,Negative,Auto + Home,4687
30,Engineer,Widowed,2,On-time,0,0,0,3811,Credit Card,Late,6,Negative,Only Health,3811
45,Engineer,Single,4,Late,0,2,6942,3382,Cash,On-time,6,Neutral,Only Home,4058
74,Student,Widowed,4,On-time,2,2,19983,4243,Credit Card,On-time,6,Negative,Only Home,4582
66,Engineer,Married,2,On-time,0,3,36276,3019,Credit Card,On-time,2,Neutral,Only Home,3924
42,Teacher,Married,4,On-time,2,1,46279,4900,Credit Card,On-time,5,Positive,Only Health,4851
73,Engineer,Widowed,2,Late,1,3,18577,1154,Credit Card,Late,8,Negative,Auto + Home,1350
50,Teacher,Single,1,Missed,0,1,6915,2477,UPI,On-time,8,Neutral,Only Auto,2724
55,Retired,Divorced,2,On-time,0,3,27333,680,UPI,On-time,3,Neutral,Auto + Home,884
70,Teacher,Divorced,5,On-time,2,4,3045,4625,UPI,On-time,8,Negative,Health + Life,5827
23,Self-Employed,Widowed,5,On-time,1,0,0,3519,UPI,On-time,1,Negative,Health + Life,3167
61,Retired,Married,3,Late,0,0,0,1264,Credit Card,On-time,7,Positive,Only Auto,1264
62,Retired,Single,4,Late,0,0,0,4635,Credit Card,On-time,1,Positive,Only Home,4635
49,Teacher,Single,4,On-time,2,4,10564,2866,Credit Card,On-time,4,Neutral,Only Auto,3611
62,Doctor,Married,2,On-time,1,4,12105,3798,Credit Card,On-time,5,Positive,Only Health,4785
64,Business,Divorced,4,On-time,2,0,0,3279,UPI,On-time,1,Negative,Only Home,2951
38,Engineer,Single,5,On-time,1,0,0,2871,Cash,On-time,8,Negative,Only Auto,2583
33,Student,Widowed,1,On-time,1,1,48561,3890,UPI,On-time,5,Neutral,Only Auto,3851
71,Business,Divorced,2,Late,2,1,48689,2282,Credit Card,On-time,7,Neutral,Only Health,2259
38,Engineer,Widowed,4,On-time,2,2,33135,1564,Credit Card,On-time,3,Positive,Only Health,1689
28,Engineer,Divorced,5,On-time,1,3,40949,2956,Cash,On-time,2,Negative,Auto + Home,3458
